order_id,date_raw,order_date,date_format_source,order_year,order_month,order_month_start,order_month_name,order_day_name,item_name,item_type,item_price,quantity,transaction_amount,expected_transaction_amount,transaction_amount_matches_expected,transaction_type,missing_transaction_type_flag,received_by,received_by_is_ambiguous_flag,time_of_sale,parsed_date_missing_flag,duplicate_order_id_flag,has_any_quality_flag
32,05-06-2022,2022-06-05,dd-mm-yyyy,2022,2022-06,2022-06-01,Jun 2022,Sunday,Aalopuri,Fastfood,20,4,80,80,True,Unknown,True,Mr.,True,Morning,False,False,True
33,02-05-2023,2023-05-02,dd-mm-yyyy,2023,2023-05,2023-05-01,May 2023,Tuesday,Aalopuri,Fastfood,20,13,260,260,True,Online,False,Mr.,True,Night,False,False,False
34,02-04-2023,2023-04-02,dd-mm-yyyy,2023,2023-04,2023-04-01,Apr 2023,Sunday,Frankie,Fastfood,50,12,600,600,True,Online,False,Mrs.,True,Evening,False,False,False
35,5/22/2022,2022-05-22,mm/dd/yyyy,2022,2022-05,2022-05-01,May 2022,Sunday,Vadapav,Fastfood,20,8,160,160,True,Cash,False,Mr.,True,Morning,False,False,False
36,07-02-2022,2022-02-07,dd-mm-yyyy,2022,2022-02,2022-02-01,Feb 2022,Monday,Cold coffee,Beverages,40,10,400,400,True,Online,False,Mr.,True,Afternoon,False,False,False
37,01-05-2023,2023-05-01,dd-mm-yyyy,2023,2023-05,2023-05-01,May 2023,Monday,Frankie,Fastfood,50,10,500,500,True,Cash,False,Mr.,True,Night,False,False,False
38,03-08-2023,2023-08-03,dd-mm-yyyy,2023,2023-08,2023-08-01,Aug 2023,Thursday,Panipuri,Fastfood,20,12,240,240,True,Online,False,Mrs.,True,Night,False,False,False
39,5/14/2022,2022-05-14,mm/dd/yyyy,2022,2022-05,2022-05-01,May 2022,Saturday,Vadapav,Fastfood,20,2,40,40,True,Online,False,Mr.,True,Evening,False,False,False
40,02-05-2023,2023-05-02,dd-mm-yyyy,2023,2023-05,2023-05-01,May 2023,Tuesday,Sandwich,Fastfood,60,5,300,300,True,Online,False,Mrs.,True,Night,False,False,False
41,11/13/2022,2022-11-13,mm/dd/yyyy,2022,2022-11,2022-11-01,Nov 2022,Sunday,Cold coffee,Beverages,40,11,440,440,True,Unknown,True,Mr.,True,Afternoon,False,False,True
42,05-09-2022,2022-09-05,dd-mm-yyyy,2022,2022-09,2022-09-01,Sep 2022,Monday,Aalopuri,Fastfood,20,8,160,160,True,Online,False,Mrs.,True,Night,False,False,False
43,5/26/2022,2022-05-26,mm/dd/yyyy,2022,2022-05,2022-05-01,May 2022,Thursday,Vadapav,Fastfood,20,1,20,20,True,Cash,False,Mr.,True,Night,False,False,False
44,8/28/2022,2022-08-28,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Sunday,Cold coffee,Beverages,40,12,480,480,True,Cash,False,Mr.,True,Evening,False,False,False
45,8/15/2022,2022-08-15,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Monday,Sugarcane juice,Beverages,25,6,150,150,True,Cash,False,Mrs.,True,Afternoon,False,False,False
46,05-07-2022,2022-07-05,dd-mm-yyyy,2022,2022-07,2022-07-01,Jul 2022,Tuesday,Vadapav,Fastfood,20,7,140,140,True,Cash,False,Mr.,True,Evening,False,False,False
47,07-10-2022,2022-10-07,dd-mm-yyyy,2022,2022-10,2022-10-01,Oct 2022,Friday,Sandwich,Fastfood,60,7,420,420,True,Unknown,True,Mr.,True,Morning,False,False,True
48,2/23/2023,2023-02-23,mm/dd/yyyy,2023,2023-02,2023-02-01,Feb 2023,Thursday,Sandwich,Fastfood,60,14,840,840,True,Online,False,Mr.,True,Afternoon,False,False,False
49,11-06-2022,2022-06-11,dd-mm-yyyy,2022,2022-06,2022-06-01,Jun 2022,Saturday,Frankie,Fastfood,50,4,200,200,True,Online,False,Mrs.,True,Morning,False,False,False
50,11-02-2022,2022-02-11,dd-mm-yyyy,2022,2022-02,2022-02-01,Feb 2022,Friday,Vadapav,Fastfood,20,8,160,160,True,Cash,False,Mrs.,True,Midnight,False,False,False
51,5/16/2022,2022-05-16,mm/dd/yyyy,2022,2022-05,2022-05-01,May 2022,Monday,Frankie,Fastfood,50,15,750,750,True,Online,False,Mrs.,True,Morning,False,False,False
52,3/16/2023,2023-03-16,mm/dd/yyyy,2023,2023-03,2023-03-01,Mar 2023,Thursday,Sugarcane juice,Beverages,25,12,300,300,True,Cash,False,Mrs.,True,Midnight,False,False,False
53,7/26/2022,2022-07-26,mm/dd/yyyy,2022,2022-07,2022-07-01,Jul 2022,Tuesday,Aalopuri,Fastfood,20,13,260,260,True,Cash,False,Mr.,True,Afternoon,False,False,False
54,12/28/2022,2022-12-28,mm/dd/yyyy,2022,2022-12,2022-12-01,Dec 2022,Wednesday,Panipuri,Fastfood,20,14,280,280,True,Online,False,Mrs.,True,Morning,False,False,False
55,05-07-2022,2022-07-05,dd-mm-yyyy,2022,2022-07,2022-07-01,Jul 2022,Tuesday,Sandwich,Fastfood,60,10,600,600,True,Cash,False,Mr.,True,Night,False,False,False
56,11/23/2022,2022-11-23,mm/dd/yyyy,2022,2022-11,2022-11-01,Nov 2022,Wednesday,Panipuri,Fastfood,20,11,220,220,True,Cash,False,Mrs.,True,Midnight,False,False,False
57,08-04-2022,2022-04-08,dd-mm-yyyy,2022,2022-04,2022-04-01,Apr 2022,Friday,Panipuri,Fastfood,20,14,280,280,True,Online,False,Mrs.,True,Morning,False,False,False
58,02-03-2023,2023-03-02,dd-mm-yyyy,2023,2023-03,2023-03-01,Mar 2023,Thursday,Vadapav,Fastfood,20,6,120,120,True,Online,False,Mrs.,True,Morning,False,False,False
59,07-01-2022,2022-01-07,dd-mm-yyyy,2022,2022-01,2022-01-01,Jan 2022,Friday,Vadapav,Fastfood,20,5,100,100,True,Cash,False,Mr.,True,Morning,False,False,False
60,06-11-2022,2022-11-06,dd-mm-yyyy,2022,2022-11,2022-11-01,Nov 2022,Sunday,Cold coffee,Beverages,40,2,80,80,True,Online,False,Mr.,True,Night,False,False,False
61,12/25/2022,2022-12-25,mm/dd/yyyy,2022,2022-12,2022-12-01,Dec 2022,Sunday,Vadapav,Fastfood,20,14,280,280,True,Cash,False,Mrs.,True,Afternoon,False,False,False
62,10/17/2022,2022-10-17,mm/dd/yyyy,2022,2022-10,2022-10-01,Oct 2022,Monday,Sugarcane juice,Beverages,25,3,75,75,True,Cash,False,Mr.,True,Afternoon,False,False,False
63,12-01-2022,2022-01-12,dd-mm-yyyy,2022,2022-01,2022-01-01,Jan 2022,Wednesday,Sandwich,Fastfood,60,7,420,420,True,Online,False,Mrs.,True,Morning,False,False,False
64,12-09-2022,2022-09-12,dd-mm-yyyy,2022,2022-09,2022-09-01,Sep 2022,Monday,Cold coffee,Beverages,40,1,40,40,True,Cash,False,Mr.,True,Morning,False,False,False
65,7/25/2022,2022-07-25,mm/dd/yyyy,2022,2022-07,2022-07-01,Jul 2022,Monday,Aalopuri,Fastfood,20,4,80,80,True,Cash,False,Mr.,True,Morning,False,False,False
66,04-05-2022,2022-05-04,dd-mm-yyyy,2022,2022-05,2022-05-01,May 2022,Wednesday,Frankie,Fastfood,50,2,100,100,True,Cash,False,Mrs.,True,Morning,False,False,False
67,5/15/2022,2022-05-15,mm/dd/yyyy,2022,2022-05,2022-05-01,May 2022,Sunday,Aalopuri,Fastfood,20,9,180,180,True,Cash,False,Mr.,True,Midnight,False,False,False
68,12/17/2022,2022-12-17,mm/dd/yyyy,2022,2022-12,2022-12-01,Dec 2022,Saturday,Cold coffee,Beverages,40,2,80,80,True,Unknown,True,Mr.,True,Night,False,False,True
69,01-10-2023,2023-10-01,dd-mm-yyyy,2023,2023-10,2023-10-01,Oct 2023,Sunday,Vadapav,Fastfood,20,7,140,140,True,Cash,False,Mr.,True,Midnight,False,False,False
70,05-09-2022,2022-09-05,dd-mm-yyyy,2022,2022-09,2022-09-01,Sep 2022,Monday,Cold coffee,Beverages,40,14,560,560,True,Unknown,True,Mrs.,True,Morning,False,False,True
71,12-05-2022,2022-05-12,dd-mm-yyyy,2022,2022-05,2022-05-01,May 2022,Thursday,Cold coffee,Beverages,40,6,240,240,True,Online,False,Mr.,True,Night,False,False,False
72,03-09-2023,2023-09-03,dd-mm-yyyy,2023,2023-09,2023-09-01,Sep 2023,Sunday,Frankie,Fastfood,50,13,650,650,True,Online,False,Mr.,True,Afternoon,False,False,False
73,7/29/2022,2022-07-29,mm/dd/yyyy,2022,2022-07,2022-07-01,Jul 2022,Friday,Panipuri,Fastfood,20,5,100,100,True,Cash,False,Mr.,True,Midnight,False,False,False
74,8/15/2022,2022-08-15,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Monday,Cold coffee,Beverages,40,10,400,400,True,Online,False,Mrs.,True,Evening,False,False,False
75,02-02-2023,2023-02-02,dd-mm-yyyy,2023,2023-02,2023-02-01,Feb 2023,Thursday,Cold coffee,Beverages,40,6,240,240,True,Online,False,Mrs.,True,Afternoon,False,False,False
76,8/17/2022,2022-08-17,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Wednesday,Vadapav,Fastfood,20,9,180,180,True,Online,False,Mr.,True,Morning,False,False,False
77,02-04-2023,2023-04-02,dd-mm-yyyy,2023,2023-04,2023-04-01,Apr 2023,Sunday,Sugarcane juice,Beverages,25,12,300,300,True,Cash,False,Mrs.,True,Midnight,False,False,False
78,10-01-2022,2022-01-10,dd-mm-yyyy,2022,2022-01,2022-01-01,Jan 2022,Monday,Vadapav,Fastfood,20,4,80,80,True,Cash,False,Mrs.,True,Evening,False,False,False
79,11-05-2022,2022-05-11,dd-mm-yyyy,2022,2022-05,2022-05-01,May 2022,Wednesday,Panipuri,Fastfood,20,6,120,120,True,Online,False,Mr.,True,Night,False,False,False
80,5/24/2022,2022-05-24,mm/dd/yyyy,2022,2022-05,2022-05-01,May 2022,Tuesday,Frankie,Fastfood,50,13,650,650,True,Cash,False,Mr.,True,Evening,False,False,False
81,11/19/2022,2022-11-19,mm/dd/yyyy,2022,2022-11,2022-11-01,Nov 2022,Saturday,Frankie,Fastfood,50,12,600,600,True,Online,False,Mrs.,True,Night,False,False,False
82,7/17/2022,2022-07-17,mm/dd/yyyy,2022,2022-07,2022-07-01,Jul 2022,Sunday,Frankie,Fastfood,50,3,150,150,True,Online,False,Mrs.,True,Evening,False,False,False
83,11/13/2022,2022-11-13,mm/dd/yyyy,2022,2022-11,2022-11-01,Nov 2022,Sunday,Frankie,Fastfood,50,11,550,550,True,Unknown,True,Mr.,True,Evening,False,False,True
84,03-03-2023,2023-03-03,dd-mm-yyyy,2023,2023-03,2023-03-01,Mar 2023,Friday,Panipuri,Fastfood,20,13,260,260,True,Cash,False,Mr.,True,Midnight,False,False,False
85,8/19/2022,2022-08-19,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Friday,Aalopuri,Fastfood,20,3,60,60,True,Online,False,Mrs.,True,Night,False,False,False
86,03-09-2023,2023-09-03,dd-mm-yyyy,2023,2023-09,2023-09-01,Sep 2023,Sunday,Aalopuri,Fastfood,20,15,300,300,True,Cash,False,Mr.,True,Morning,False,False,False
87,5/29/2022,2022-05-29,mm/dd/yyyy,2022,2022-05,2022-05-01,May 2022,Sunday,Aalopuri,Fastfood,20,8,160,160,True,Cash,False,Mr.,True,Night,False,False,False
88,07-07-2022,2022-07-07,dd-mm-yyyy,2022,2022-07,2022-07-01,Jul 2022,Thursday,Cold coffee,Beverages,40,10,400,400,True,Cash,False,Mr.,True,Evening,False,False,False
89,12/23/2022,2022-12-23,mm/dd/yyyy,2022,2022-12,2022-12-01,Dec 2022,Friday,Aalopuri,Fastfood,20,14,280,280,True,Cash,False,Mr.,True,Evening,False,False,False
90,10/29/2022,2022-10-29,mm/dd/yyyy,2022,2022-10,2022-10-01,Oct 2022,Saturday,Vadapav,Fastfood,20,15,300,300,True,Online,False,Mr.,True,Night,False,False,False
91,3/22/2023,2023-03-22,mm/dd/yyyy,2023,2023-03,2023-03-01,Mar 2023,Wednesday,Cold coffee,Beverages,40,6,240,240,True,Unknown,True,Mrs.,True,Evening,False,False,True
92,5/13/2022,2022-05-13,mm/dd/yyyy,2022,2022-05,2022-05-01,May 2022,Friday,Aalopuri,Fastfood,20,15,300,300,True,Cash,False,Mr.,True,Afternoon,False,False,False
93,07-03-2022,2022-03-07,dd-mm-yyyy,2022,2022-03,2022-03-01,Mar 2022,Monday,Cold coffee,Beverages,40,2,80,80,True,Online,False,Mrs.,True,Midnight,False,False,False
94,9/14/2022,2022-09-14,mm/dd/yyyy,2022,2022-09,2022-09-01,Sep 2022,Wednesday,Aalopuri,Fastfood,20,15,300,300,True,Unknown,True,Mrs.,True,Night,False,False,True
95,05-12-2022,2022-12-05,dd-mm-yyyy,2022,2022-12,2022-12-01,Dec 2022,Monday,Sugarcane juice,Beverages,25,8,200,200,True,Online,False,Mr.,True,Night,False,False,False
96,8/22/2022,2022-08-22,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Monday,Sandwich,Fastfood,60,15,900,900,True,Unknown,True,Mr.,True,Morning,False,False,True
97,3/29/2023,2023-03-29,mm/dd/yyyy,2023,2023-03,2023-03-01,Mar 2023,Wednesday,Cold coffee,Beverages,40,13,520,520,True,Online,False,Mr.,True,Evening,False,False,False
98,12/24/2022,2022-12-24,mm/dd/yyyy,2022,2022-12,2022-12-01,Dec 2022,Saturday,Vadapav,Fastfood,20,1,20,20,True,Online,False,Mr.,True,Morning,False,False,False
99,09-11-2022,2022-11-09,dd-mm-yyyy,2022,2022-11,2022-11-01,Nov 2022,Wednesday,Sugarcane juice,Beverages,25,3,75,75,True,Cash,False,Mr.,True,Evening,False,False,False
100,05-08-2022,2022-08-05,dd-mm-yyyy,2022,2022-08,2022-08-01,Aug 2022,Friday,Panipuri,Fastfood,20,11,220,220,True,Unknown,True,Mr.,True,Morning,False,False,True
101,3/26/2023,2023-03-26,mm/dd/yyyy,2023,2023-03,2023-03-01,Mar 2023,Sunday,Vadapav,Fastfood,20,3,60,60,True,Online,False,Mrs.,True,Morning,False,False,False
102,3/13/2023,2023-03-13,mm/dd/yyyy,2023,2023-03,2023-03-01,Mar 2023,Monday,Cold coffee,Beverages,40,14,560,560,True,Cash,False,Mr.,True,Morning,False,False,False
103,3/14/2023,2023-03-14,mm/dd/yyyy,2023,2023-03,2023-03-01,Mar 2023,Tuesday,Cold coffee,Beverages,40,8,320,320,True,Online,False,Mrs.,True,Midnight,False,False,False
104,10/27/2022,2022-10-27,mm/dd/yyyy,2022,2022-10,2022-10-01,Oct 2022,Thursday,Cold coffee,Beverages,40,13,520,520,True,Online,False,Mr.,True,Morning,False,False,False
105,1/25/2023,2023-01-25,mm/dd/yyyy,2023,2023-01,2023-01-01,Jan 2023,Wednesday,Panipuri,Fastfood,20,8,160,160,True,Cash,False,Mrs.,True,Evening,False,False,False
106,2/25/2023,2023-02-25,mm/dd/yyyy,2023,2023-02,2023-02-01,Feb 2023,Saturday,Frankie,Fastfood,50,9,450,450,True,Cash,False,Mrs.,True,Evening,False,False,False
107,02-07-2023,2023-07-02,dd-mm-yyyy,2023,2023-07,2023-07-01,Jul 2023,Sunday,Sandwich,Fastfood,60,4,240,240,True,Online,False,Mr.,True,Afternoon,False,False,False
108,08-06-2022,2022-06-08,dd-mm-yyyy,2022,2022-06,2022-06-01,Jun 2022,Wednesday,Panipuri,Fastfood,20,5,100,100,True,Online,False,Mr.,True,Afternoon,False,False,False
109,08-08-2022,2022-08-08,dd-mm-yyyy,2022,2022-08,2022-08-01,Aug 2022,Monday,Cold coffee,Beverages,40,12,480,480,True,Unknown,True,Mr.,True,Afternoon,False,False,True
110,11/16/2022,2022-11-16,mm/dd/yyyy,2022,2022-11,2022-11-01,Nov 2022,Wednesday,Panipuri,Fastfood,20,2,40,40,True,Online,False,Mrs.,True,Morning,False,False,False
111,09-04-2022,2022-04-09,dd-mm-yyyy,2022,2022-04,2022-04-01,Apr 2022,Saturday,Sandwich,Fastfood,60,8,480,480,True,Cash,False,Mrs.,True,Midnight,False,False,False
112,2/24/2023,2023-02-24,mm/dd/yyyy,2023,2023-02,2023-02-01,Feb 2023,Friday,Sandwich,Fastfood,60,7,420,420,True,Cash,False,Mr.,True,Morning,False,False,False
113,12-12-2022,2022-12-12,dd-mm-yyyy,2022,2022-12,2022-12-01,Dec 2022,Monday,Aalopuri,Fastfood,20,8,160,160,True,Cash,False,Mr.,True,Afternoon,False,False,False
114,8/14/2022,2022-08-14,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Sunday,Aalopuri,Fastfood,20,10,200,200,True,Online,False,Mr.,True,Afternoon,False,False,False
115,01-12-2023,2023-12-01,dd-mm-yyyy,2023,2023-12,2023-12-01,Dec 2023,Friday,Aalopuri,Fastfood,20,13,260,260,True,Unknown,True,Mr.,True,Evening,False,False,True
116,8/26/2022,2022-08-26,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Friday,Sugarcane juice,Beverages,25,13,325,325,True,Cash,False,Mr.,True,Evening,False,False,False
117,03-09-2023,2023-09-03,dd-mm-yyyy,2023,2023-09,2023-09-01,Sep 2023,Sunday,Frankie,Fastfood,50,7,350,350,True,Online,False,Mrs.,True,Evening,False,False,False
118,07-06-2022,2022-06-07,dd-mm-yyyy,2022,2022-06,2022-06-01,Jun 2022,Tuesday,Sandwich,Fastfood,60,1,60,60,True,Online,False,Mr.,True,Midnight,False,False,False
119,05-12-2022,2022-12-05,dd-mm-yyyy,2022,2022-12,2022-12-01,Dec 2022,Monday,Panipuri,Fastfood,20,10,200,200,True,Cash,False,Mr.,True,Evening,False,False,False
120,07-10-2022,2022-10-07,dd-mm-yyyy,2022,2022-10,2022-10-01,Oct 2022,Friday,Frankie,Fastfood,50,2,100,100,True,Cash,False,Mrs.,True,Evening,False,False,False
121,8/26/2022,2022-08-26,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Friday,Cold coffee,Beverages,40,8,320,320,True,Cash,False,Mr.,True,Afternoon,False,False,False
122,4/24/2022,2022-04-24,mm/dd/yyyy,2022,2022-04,2022-04-01,Apr 2022,Sunday,Panipuri,Fastfood,20,3,60,60,True,Unknown,True,Mrs.,True,Night,False,False,True
123,06-09-2022,2022-09-06,dd-mm-yyyy,2022,2022-09,2022-09-01,Sep 2022,Tuesday,Cold coffee,Beverages,40,6,240,240,True,Online,False,Mr.,True,Evening,False,False,False
124,10/14/2022,2022-10-14,mm/dd/yyyy,2022,2022-10,2022-10-01,Oct 2022,Friday,Sugarcane juice,Beverages,25,13,325,325,True,Unknown,True,Mrs.,True,Evening,False,False,True
125,04-10-2022,2022-10-04,dd-mm-yyyy,2022,2022-10,2022-10-01,Oct 2022,Tuesday,Vadapav,Fastfood,20,7,140,140,True,Cash,False,Mrs.,True,Midnight,False,False,False
126,04-08-2022,2022-08-04,dd-mm-yyyy,2022,2022-08,2022-08-01,Aug 2022,Thursday,Panipuri,Fastfood,20,11,220,220,True,Online,False,Mrs.,True,Night,False,False,False
127,12-03-2022,2022-03-12,dd-mm-yyyy,2022,2022-03,2022-03-01,Mar 2022,Saturday,Aalopuri,Fastfood,20,1,20,20,True,Unknown,True,Mrs.,True,Morning,False,False,True
128,08-07-2022,2022-07-08,dd-mm-yyyy,2022,2022-07,2022-07-01,Jul 2022,Friday,Vadapav,Fastfood,20,11,220,220,True,Online,False,Mr.,True,Midnight,False,False,False
129,10/19/2022,2022-10-19,mm/dd/yyyy,2022,2022-10,2022-10-01,Oct 2022,Wednesday,Panipuri,Fastfood,20,13,260,260,True,Cash,False,Mrs.,True,Morning,False,False,False
130,12/28/2022,2022-12-28,mm/dd/yyyy,2022,2022-12,2022-12-01,Dec 2022,Wednesday,Sugarcane juice,Beverages,25,7,175,175,True,Cash,False,Mr.,True,Night,False,False,False
131,1/19/2023,2023-01-19,mm/dd/yyyy,2023,2023-01,2023-01-01,Jan 2023,Thursday,Sandwich,Fastfood,60,8,480,480,True,Cash,False,Mr.,True,Night,False,False,False
132,12-05-2022,2022-05-12,dd-mm-yyyy,2022,2022-05,2022-05-01,May 2022,Thursday,Vadapav,Fastfood,20,4,80,80,True,Online,False,Mrs.,True,Night,False,False,False
133,12/20/2022,2022-12-20,mm/dd/yyyy,2022,2022-12,2022-12-01,Dec 2022,Tuesday,Aalopuri,Fastfood,20,5,100,100,True,Online,False,Mr.,True,Midnight,False,False,False
134,7/17/2022,2022-07-17,mm/dd/yyyy,2022,2022-07,2022-07-01,Jul 2022,Sunday,Aalopuri,Fastfood,20,12,240,240,True,Online,False,Mrs.,True,Night,False,False,False
135,1/14/2023,2023-01-14,mm/dd/yyyy,2023,2023-01,2023-01-01,Jan 2023,Saturday,Aalopuri,Fastfood,20,8,160,160,True,Online,False,Mr.,True,Midnight,False,False,False
136,8/24/2022,2022-08-24,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Wednesday,Aalopuri,Fastfood,20,15,300,300,True,Online,False,Mr.,True,Morning,False,False,False
137,3/19/2023,2023-03-19,mm/dd/yyyy,2023,2023-03,2023-03-01,Mar 2023,Sunday,Sugarcane juice,Beverages,25,6,150,150,True,Unknown,True,Mr.,True,Afternoon,False,False,True
